,th,giv,m,i_orig,i_shuffled,h
0,regular,ReputationVariable,classification,0,0,Cooperation is significantly higher when anonymity manipulation is low compared to when anonymity manipulation is medium.
1,regular,ReputationVariable,classification,1,5,Contribution is significantly lower when knowledge of partner's prior behavior is absent compared to when knowledge of partner's prior behavior is present.
2,regular,ReputationVariable,llm_zero_shot_prompting,2,3,cooperation  is significantly higher when Knowledge of partner's prior behavior is cooperative compared to when Knowledge of partner's prior behavior is absent.
3,regular,ReputationVariable,llm_zero_shot_prompting,3,4,cooperation  is significantly lower when Knowledge of partner's prior behavior is absent compared to when Knowledge of partner's prior behavior is present.
4,regular,ReputationVariable,anyburl,4,2,Cooperation is significantly lower when partner selection is present compared to when partner selection is absent.
5,regular,ReputationVariable,anyburl,5,1,Cooperation is significantly lower when anonymity manipulation is low compared to when anonymity manipulation is medium.
0,regular,PersonalityVariable,classification,0,4,Cooperation is significantly higher when svo type is prosocial compared to when svo type is competitor.
1,regular,PersonalityVariable,classification,1,2,Cooperation is significantly lower when svo type is individualist compared to when svo type is prosocial.
2,regular,PersonalityVariable,llm_zero_shot_prompting,2,1,cooperation  is significantly higher when Psychopathology is Non-suicidal self-injury compared to when Psychopathology is Suicide attempt.
3,regular,PersonalityVariable,llm_zero_shot_prompting,3,3,cooperation  is significantly lower when SVO type is Individualist compared to when SVO type is Prosocial.
4,regular,PersonalityVariable,anyburl,4,0,Withdrawal is significantly higher when svo type is prosocial compared to when svo type is proself.
5,regular,PersonalityVariable,anyburl,5,5,Contribution is significantly lower when svo type is individualist compared to when svo type is prosocial.
0,var_mod,LeadershipVariable,classification,0,0,"When comparing studies where leadership assignment rule is random appointment and studies where leadership assignment rule is elected, contribution from studies involving weak as leader's characteristic are significantly higher than contribution from studies involving strong as leader's characteristic."
1,var_mod,LeadershipVariable,classification,1,4,"When comparing studies where leadership assignment rule is random appointment and studies where leadership assignment rule is elected, contribution from studies involving weak as leader's characteristic are significantly higher than contribution from studies involving strong as leader's characteristic."
2,var_mod,LeadershipVariable,llm_zero_shot_prompting,2,5,"When comparing studies where Leadership assignment rule is Authority and studies where Leadership assignment rule is Elected, contributions from studies involving Exogenous as Endogenous leadership are significantly higher than effect sizes based on Endogenous as Endogenous leadership."
3,var_mod,LeadershipVariable,llm_zero_shot_prompting,3,2,"When comparing studies where Leadership assignment rule is Authority and studies where Leadership assignment rule is Elected, contributions from studies involving Exogenous as Endogenous leadership are significantly higher than effect sizes based on Endogenous as Endogenous leadership."
4,var_mod,LeadershipVariable,anyburl,4,3,"When comparing studies where leadership assignment rule is random appointment and studies where leadership assignment rule is elected, contribution from studies involving exogenous as endogenous leadership are significantly lower than contribution from studies involving endogenous as endogenous leadership."
5,var_mod,LeadershipVariable,anyburl,5,1,"When comparing studies where leadership assignment rule is random appointment and studies where leadership assignment rule is elected, contribution from studies involving exogenous as endogenous leadership are significantly higher than contribution from studies involving endogenous as endogenous leadership."
0,var_mod,IdentificationVariable,classification,0,4,"When comparing studies where identification level is high and studies where identification level is low, contribution from studies involving ingroup as partner's group membership are significantly higher than contribution from studies involving stranger as partner's group membership."
1,var_mod,IdentificationVariable,classification,1,2,"When comparing studies where knowledge of group membership is common and studies where knowledge of group membership is unilateral, contribution from studies involving ingroup as partner's group membership are significantly higher than contribution from studies involving outgroup as partner's group membership."
2,var_mod,IdentificationVariable,llm_zero_shot_prompting,2,3,"When comparing studies where Knowledge of group membership is Common and studies where Knowledge of group membership is Unilateral, cooperation from studies involving Outgroup as Partner's group membership are significantly higher than effect sizes based on Stranger as Partner's group membership."
3,var_mod,IdentificationVariable,llm_zero_shot_prompting,3,0,"When comparing studies where Knowledge of group membership is Common and studies where Knowledge of group membership is Unknown, cooperation from studies involving Ingroup as Partner's group membership are significantly higher than effect sizes based on Outgroup as Partner's group membership."
4,var_mod,IdentificationVariable,anyburl,4,5,"When comparing studies where identification level is high and studies where identification level is low, contribution from studies involving ingroup as partner's group membership are significantly higher than contribution from studies involving stranger as partner's group membership."
5,var_mod,IdentificationVariable,anyburl,5,1,"When comparing studies where partner's group membership is ingroup and studies where partner's group membership is stranger, contribution from studies involving high as identification level are significantly higher than contribution from studies involving low as identification level."
0,study_mod,GenderVariable,classification,0,0,"When comparing studies where gender is female and studies where gender is male, withdrawal is significantly lower when recruitment method is other compared to when recruitment method has another value."
1,study_mod,GenderVariable,classification,1,5,"When comparing studies where gender is female and studies where gender is male, contribution is significantly lower when acquaintance is acquaintance compared to when acquaintance has another value."
2,study_mod,GenderVariable,llm_zero_shot_prompting,2,3,"When comparing studies where Heterogeneous gender is na and studies where Heterogeneous gender is na, cooperation is significantly higher when Continuous vs step-level public goods is Step-level."
3,study_mod,GenderVariable,llm_zero_shot_prompting,3,4,"When comparing studies where Partner's gender is known is na and studies where Partner's gender is known is na, cooperation is significantly higher when Game type is Prisoner's Dilemma Game."
4,study_mod,GenderVariable,anyburl,4,2,"When comparing studies where gender is female and studies where gender is male, cooperation is significantly higher when has country is can compared to when has country has another value."
5,study_mod,GenderVariable,anyburl,5,1,"When comparing studies where gender is female and studies where gender is male, cooperation is significantly higher when source of country or region is all authors compared to when source of country or region has another value."
0,study_mod,IncentivesVariable,classification,0,0,"When comparing studies where game incentive is hypothetical and studies where game incentive is non-monetary material, cooperation is significantly lower when source of country or region is specified country compared to when source of country or region has another value."
1,study_mod,IncentivesVariable,classification,1,3,"When comparing studies where game incentive is monetary and studies where game incentive is hypothetical, cooperation is significantly lower when source of country or region is all authors compared to when source of country or region has another value."
2,study_mod,IncentivesVariable,llm_zero_shot_prompting,2,1,"When comparing studies where Game incentive is Monetary and studies where Game incentive is Hypothetical, cooperation is significantly higher when Game incentive is Hypothetical."
3,study_mod,IncentivesVariable,llm_zero_shot_prompting,3,5,"When comparing studies where Game incentive is Monetary and studies where Game incentive is Hypothetical, cooperation is significantly higher when Academic discipline is Mixed."
4,study_mod,IncentivesVariable,anyburl,4,2,"When comparing studies where game incentive is monetary and studies where game incentive is non-monetary material, cooperation is significantly lower when has country is usa compared to when has country has another value."
5,study_mod,IncentivesVariable,anyburl,5,4,"When comparing studies where game incentive is monetary and studies where game incentive is non-monetary material, cooperation is significantly lower when source of country or region is specified country compared to when source of country or region has another value."
